stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
JANV12CP41742,41742,Industrtiel / Salaberry [41742] ,-73.72384,45.57465,0,0,0
MARS1241742,41742,Industrtiel / Salaberry [41742] ,-73.72384,45.57465,0,0,0
MARS12CP41742,41742,Industrtiel / Salaberry [41742] ,-73.72384,45.57465,0,0,0
JANV1241743,41743,Industrtiel / Salaberry [41743] ,-73.724455,45.57464,0,0,0
MARS1241743,41743,Industrtiel / Salaberry [41743] ,-73.724455,45.57464,0,0,0
JANV1241744,41744,Industriel / Lippmann [41744] ,-73.726848,45.577254,0,0,0
MARS1241744,41744,Industriel / Lippmann [41744] ,-73.726848,45.577254,0,0,0
JANV1241745,41745,Industriel / Lippmann [41745] ,-73.727502,45.577262,0,0,1
MARS1241745,41745,Industriel / Lippmann [41745] ,-73.727502,45.577262,0,0,1
JANV1241746,41746,Industriel / Munck [41746] ,-73.729214,45.579319,0,0,0
MARS1241746,41746,Industriel / Munck [41746] ,-73.729214,45.579319,0,0,0
JANV1241747,41747,Ingrid / Hyacinthe [41747] ,-73.809774,45.572128,0,0,0
MARS1241747,41747,Ingrid / Hyacinthe [41747] ,-73.809774,45.572128,0,0,0
JANV1241748,41748,Ingrid / Isabelle [41748] ,-73.809849,45.571768,0,0,0
MARS1241748,41748,Ingrid / Isabelle [41748] ,-73.809849,45.571768,0,0,0
JANV1241749,41749,Ingrid / Ines [41749] ,-73.810267,45.573179,0,0,0
MARS1241749,41749,Ingrid / Ines [41749] ,-73.810267,45.573179,0,0,0
JANV1241750,41750,Ingrid / Ines [41750] ,-73.810575,45.573233,0,0,0
MARS1241750,41750,Ingrid / Ines [41750] ,-73.810575,45.573233,0,0,0
JANV12CP41751,41751,Ingrid / Dagenais [41751] ,-73.813429,45.57506,0,0,0
